Address,Offset,State1,State2,State3
0x0050f4,+0xFE00567C,0200b628,0200b604,0200b670
0x0050f8,+0xFE009068,02007c3c,02007c18,02007c84
0x0050fc,+0xFE0093C8,020078dc,020078b8,02007924
0x008d84,+0xFE0079E6,020092be,0200929a,02009306
0x008d88,+0xFE0079E5,020092bf,0200929b,02009307
0x008d9c,+0xFE007976,0200932e,0200930a,02009376
0x009670,+0xFE007976,0200932e,0200930a,02009376
0x009678,+0xFE00796C,02009338,02009314,02009380
0x009680,+0xFE007962,02009342,0200931e,0200938a
0x009688,+0xFE007958,0200934c,02009328,02009394
0x009690,+0xFE00793A,0200936a,02009346,020093b2
0x009698,+0xFE00791C,02009388,02009364,020093d0
0x0096a0,+0xFE007912,02009392,0200936e,020093da
0x0096a8,+0xFE0078EA,020093ba,02009396,02009402
0x00ed78,+0xFE008BCC,020080d8,020080b4,02008120
0x00ed80,+0xFE008BC4,020080e0,020080bc,02008128
0x00ed88,+0xFE008BC0,020080e4,020080c0,0200812c
0x00ed90,+0xFE008BBC,020080e8,020080c4,02008130
0x00ed98,+0xFE008BC8,020080dc,020080b8,02008124
