Dharma Dash, Race, Hong Kong (Tier 1)
Cable Car Sprint, Race, San Francisco (Tier 1)
Castle Chaos, Race, Edinburgh (Tier 1)
Street Issue, Slalom, Hong Kong (Tier 1)
Twin Peaks, Slalom, San Francisco (Tier 1)
Gunnar's Threads, Race, Edinburgh (Tier 1)
Twin Peaks, Race, San Francisco (Tier 1)
Castle Chaos, Trick, Edinburgh (Tier 1)
Waterfront Wipeout, Slalom, Hong Kong (Tier 1)
Tourist Trap, Race, San Francisco (Tier 1)
Cash Grab, Special, San Francisco (Tier 1)

Bagpipe Beatdown, Special, Edinburgh (Tier 2)
Road to Cuzco, Race, Machu Picchu (Tier 2)
Chinatown Collision, Special, San Francisco (Tier 2)
Montain High, Race, Machu Picchu (Tier 2)
City Lights, Slalom, Hong Kong (Tier 2)
Twin Peaks, Trick, San Francisco (Tier 2)
Scottish Catacombs, Slalom, Edinburgh (Tier 2)
Road to Cuzco, Trick, Machu Picchu (Tier 2)
MacKenzie's Challenge, Special, Edinburgh (Tier 2)
Vista Point, Race, Rio (Tier 2)
Tourist Spot, Slalom, San Francisco (Tier 2)
Skateboard Mountain, Slalom, Machu Picchu (Tier 2)
Top to Bottom, Race, Hong Kong (Tier 2)
Bully Board, Special, Edinburgh (Tier 2)
Skateboard Mountain, Slalom, Machu Picchu (Tier 2)
Top to Bottom, Race, Hong Kong (Tier 2)
Bully Board, Special, Edinburgh (Tier 2)

Vista Point, Slalom, Rio (Tier 3)
Trails of Ruins, Race, Machu Picchu (Tier 3)
Kevin's Challenge, Special, Hong Kong (Tier 3)
Top to Bottom, Trick, Edinburgh (Tier 3)
Crash Test, Special, Rio (Tier 3)
Elimination, Special, San Francisco (Tier 3)
Hot Lava, Special, Rio (Tier 3)

Knockdown, Special, Rio (Tier 4)
Fallen Empire, Race, Rome (Tier 4)
Skateboard Mountain, Trick, Machu Picchu (Tier 4)
Del Centro, Trick, Rome (Tier 4)
Grind Time, Special, Hong Kong (Tier 4)
Vista Point, Trick, Rio (Tier 4)
Fallen Empire, Slalom, Rome (Tier 4)
Rooftop Tour, Slalom, Rio (Tier 4)
Mountain High, Slalom, Machu Picchu (Tier 4)
High Street, Trick, Edinburgh (Tier 4)
Top to Bottom, Race, Edinburgh (Tier 4)
Favela Rush, Race, Rio (Tier 4)
Top To Bottom, Trick, Machu Picchu (Tier 4)
Cash Grab, Special, Rome (Tier 4)
Favela Rush, Race, Rio (Tier 4)
Top to Bottom, Trick, Machu Picchu (Tier 4)
Cash Grab, Special, Rome (Tier 4)

Out Of The Woods, Race, Rio (Tier 5)
Lift Ticket, Tricks, Alps (Tier 5)
Road to Cuzco, Slalom, Machu Picchu (Tier 5)
Top to Bottom, Slalom, Hong Kong (Tier 5)
Clear the Streets, Special, Rome (Tier 5)
Girl Power, Race, Rio (Tier 5)
Boost Jam, Special, San Francisco (Tier 5)

Fallen Empire, Trick, Rome (Tier 6)
High Street, Slalom, Edinburgh (Tier 6)
Chinatown Tour, Slalom, San Francisco (Tier 6)
Seaside Village, Race, Rome (Tier 6)
Out of the Woods, Trick, Rio (Tier 6)
Dharma Dash, Trick, Hong Kong (Tier 6)
Castle Chaos, Slalom, Edinburgh (Tier 6)
Top To Bottom, Trick, San Francisco (Tier 6)
Elimination, Special, Rome (Tier 6)
Clearance Sale, Special, Chicago (Tier 6)
Hot Lava, Special, San Francisco (Tier 6)

Del Centro, Race, Rome (Tier 7)
Precision Shopping, Slalom, Chicago (Tier 7)
Lift Off, Race, Alps (Tier 7)
Coaster Grind, Special, Chicago (Tier 7)
'Round the Matterhorn, Trick, Alps (Tier 7)
Waterfront Wipeout, Race, Hong Kong (Tier 7)
Parking Lot Shuffle, Race, Chicago (Tier 7)
Del Centro, Slalom, Rome (Tier 7)
Park It Anywhere, Trick, Chicago (Tier 7)
'Round the Matterhorn, Slalom, Alps (Tier 7)
Big Air, Trick, San Francisco (Tier 7)
Top To Bottom, Race, Machu Picchu (Tier 7)
Rome Burning, Race, Rome (Tier 7)
Boost Jam, Special, Alps (Tier 7)

Waterfront Wipeout, Trick, Hong Kong (Tier 8)
Lift Ticket, Slalom, Alps (Tier 8)
Shopping Spree, Race, Chicago (Tier 8)
