Address,Value,PreviousValue,InitialValue
0x00523700,0x00000002,0x00000002,0x00000000
0x005238ec,0x00000001,0x00000001,0x00000000
0x00523cdc,0x00000002,0x00000002,0x00000000
0x00524168,0x00000008,0x00000008,0x00000000
0x005243c0,0x00000008,0x00000008,0x00000000
0x00524834,0x00000008,0x00000008,0x00000000
0x00524a04,0x00000008,0x00000008,0x00000000
0x00524a60,0x00000003,0x00000003,0x00000000
0x00524b10,0x00000002,0x00000002,0x00000000
0x00524bc4,0x00000008,0x00000008,0x00000000
0x00524c6c,0x00000003,0x00000003,0x00000000
0x00524dd0,0x00000004,0x00000004,0x00000000
0x00524de0,0x00000008,0x00000008,0x00000000
0x00524ea8,0x00000007,0x00000007,0x00000000
0x00525084,0x00000008,0x00000008,0x00000000
0x00525314,0x00000008,0x00000008,0x00000000
0x0052539c,0x00000006,0x00000006,0x00000000
0x005254e8,0x00000002,0x00000002,0x00000000
0x005256c8,0x00000002,0x00000002,0x00000000
0x0052606c,0x00000008,0x00000008,0x00000000
0x005268a0,0x00000001,0x00000001,0x00000000
0x005273a0,0x00000006,0x00000006,0x00000000
0x00527a3c,0x00000002,0x00000002,0x00000000
0x00527b28,0x00000002,0x00000002,0x00000000
0x00527cb8,0x00000002,0x00000002,0x00000000
0x00527dc0,0x00000001,0x00000001,0x00000000
0x00528018,0x00000001,0x00000001,0x00000000
0x005280d4,0x00000007,0x00000007,0x00000000
0x00528178,0x00000008,0x00000008,0x00000000
0x00528324,0x00000002,0x00000002,0x00000000
0x005284a8,0x00000007,0x00000007,0x00000000
0x005286d4,0x00000007,0x00000007,0x00000000
0x005288f0,0x00000007,0x00000007,0x00000000
0x00528a2c,0x00000007,0x00000007,0x00000000
0x00528c74,0x00000007,0x00000007,0x00000000
0x00529020,0x00000002,0x00000002,0x00000000
0x005290c0,0x00000001,0x00000001,0x00000000
0x005290d4,0x00000006,0x00000006,0x00000000
0x0052911c,0x00000001,0x00000001,0x00000000
0x00529190,0x00000003,0x00000003,0x00000000
0x00529218,0x00000006,0x00000006,0x00000000
0x00529324,0x00000003,0x00000003,0x00000000
0x00529530,0x00000005,0x00000005,0x00000000
0x0052a2a4,0x00000002,0x00000002,0x00000000
0x0052a500,0x00000001,0x00000001,0x00000000
0x0052a508,0x00000008,0x00000008,0x00000000
0x0052a7b8,0x00000001,0x00000001,0x00000000
0x0052a7c0,0x00000008,0x00000008,0x00000000
0x0052aa7c,0x00000002,0x00000002,0x00000000
0x0052abf0,0x00000002,0x00000002,0x00000000
0x0052acd4,0x00000008,0x00000008,0x00000000
0x0052ad7c,0x00000008,0x00000008,0x00000000
0x00533e3c,0x00000002,0x00000002,0x00000001
0x00533e48,0x00000002,0x00000002,0x00000001
0x006bb498,0x00000001,0x00000001,0x00000004
0x007cf088,0x00000001,0x00000001,0x00000000
0x007cf0d0,0x00000001,0x00000001,0x00000000
0x007fcc08,0x00000001,0x00000001,0x00000000
0x008123f4,0x00000003,0x00000003,0x00000000
0x0081819c,0x00000002,0x00000002,0x00000000
0x008181cc,0x00000003,0x00000003,0x00000000
0x008181d0,0x00000004,0x00000004,0x00000000
0x0081ea94,0x00000001,0x00000001,0x00000000
0x0081ec14,0x00000001,0x00000001,0x00000000
0x008230b4,0x00000001,0x00000001,0x00000000
0x008231d4,0x00000001,0x00000001,0x00000000
0x00823234,0x00000001,0x00000001,0x00000000
0x008232f4,0x00000001,0x00000001,0x00000000
0x00825754,0x00000001,0x00000001,0x00000000
0x00825874,0x00000001,0x00000001,0x00000000
0x00825bd4,0x00000001,0x00000001,0x00000000
0x00825cf4,0x00000001,0x00000001,0x00000000
0x00826bf4,0x00000001,0x00000001,0x00000000
0x00826d14,0x00000001,0x00000001,0x00000000
0x00826e34,0x00000001,0x00000001,0x00000000
0x00826f54,0x00000001,0x00000001,0x00000000
0x00827194,0x00000001,0x00000001,0x00000000
0x00827254,0x00000001,0x00000001,0x00000000
0x008272b4,0x00000001,0x00000001,0x00000000
0x008275b4,0x00000001,0x00000001,0x00000000
0x0082e8e8,0x00000001,0x00000001,0x00000000
0x0082e9c8,0x00000001,0x00000001,0x00000000
0x0082ee28,0x00000001,0x00000001,0x00000000
0x0082ee98,0x00000001,0x00000001,0x00000000
