Address,Value,PreviousValue,InitialValue
0x005d5ab0,0x807859a4,0x807859a4,0x00000000
0x005d5b20,0x20000000,0x20000000,0x00000000
0x005d5b24,0x803dbb54,0x803dbb54,0x00000000
0x005d5b28,0x803db9a8,0x803db9a8,0x00000000
0x005d5b2c,0x20000000,0x20000000,0x00000000
0x005d5c38,0x803d9fc4,0x803d9fc4,0x00000000
0x006769a8,0x807aacd0,0x807aacd0,0x00000000
0x006769b0,0x807aacf0,0x807aacf0,0x00000000
0x006769c0,0x9278de60,0x9278de60,0x00000000
0x006769c4,0x807aad7c,0x807aad7c,0x00000000
0x00676b08,0x807aacd0,0x807aacd0,0x00000000
0x00676b10,0x807aacf0,0x807aacf0,0x00000000
0x00676b20,0x9278de60,0x9278de60,0x00000000
0x00676b24,0x807aad7c,0x807aad7c,0x00000000
0x00676c60,0x31000000,0x31000000,0x00000000
0x00739368,0x0000fcbe,0x0000fcbe,0x00000000
0x00739454,0x00320000,0x00320000,0x00000000
0x0073a0d4,0x00350000,0x00350000,0x00000000
0x0073a214,0x00320000,0x00320000,0x00000000
0x00743034,0x00320000,0x00320000,0x00000000
0x00743e44,0x00350000,0x00350000,0x00000000
0x00743fac,0x00320000,0x00320000,0x00000000
0x0075b420,0x00100000,0x00100000,0x00000000
0x007893b4,0x80789428,0x80789428,0x00000000
0x00789618,0x01000000,0x01000000,0x00000000
0x00789628,0x807890c8,0x807890c8,0x00000000
0x00789694,0x01000000,0x01000000,0x00000000
0x007896a4,0x807890c8,0x807890c8,0x00000000
0x007c7a74,0x807ca760,0x807ca760,0x00000000
0x007c7ad4,0x807c7a60,0x807c7a60,0x00000000
0x007c7b94,0x807c7b20,0x807c7b20,0x00000000
0x007c7c40,0x46534780,0x46534780,0x00000000
0x007c7c4c,0x807c7c30,0x807c7c30,0x00000000
0x007c7c54,0x807c7be0,0x807c7be0,0x00000000
0x007c7c94,0x807c7c40,0x807c7c40,0x00000000
0x007c7ca0,0x804f6bb8,0x804f6bb8,0x00000000
0x007c7cac,0x3f800000,0x3f800000,0x00000000
0x007c7d00,0x46534780,0x46534780,0x00000000
0x007c7d0c,0x807c7d00,0x807c7d00,0x00000000
0x007c7d14,0x807c7cc0,0x807c7cc0,0x00000000
0x007c7d18,0x807c7d60,0x807c7d60,0x00000000
0x007c7d74,0x807c7d00,0x807c7d00,0x00000000
0x007c7d78,0x807c7dc0,0x807c7dc0,0x00000000
0x007c7dc0,0x46534780,0x46534780,0x00000000
0x007c7dcc,0x807c7db0,0x807c7db0,0x00000000
0x007cffd0,0x807b3350,0x807b3350,0x00000000
0x007d38fc,0x01010000,0x01010000,0x00000000
0x007d43d0,0x807b3350,0x807b3350,0x00000000
0x007d44d0,0x804f6088,0x804f6088,0x00000000
0x007d44fc,0x01010000,0x01010000,0x00000000
0x007e04f0,0x807b3350,0x807b3350,0x00000000
0x007e0eb0,0x807b3350,0x807b3350,0x00000000
0x007e0ef0,0x807b3350,0x807b3350,0x00000000
0x007e1130,0x807b3350,0x807b3350,0x00000000
0x007e14f0,0x807b3350,0x807b3350,0x00000000
0x007e1a3c,0x3f800000,0x3f800000,0x00000000
0x007e1bfc,0x3f800000,0x3f800000,0x00000000
0x007e1cbc,0x807b3350,0x807b3350,0x00000000
0x007e1db0,0x807b3350,0x807b3350,0x00000000
0x007e1e9c,0x3f800000,0x3f800000,0x00000000
0x007e205c,0x805602b0,0x805602b0,0x00000000
0x007e212c,0x807e2120,0x807e2120,0x00000000
0x007e2130,0x807b3350,0x807b3350,0x00000000
0x007e21fc,0x925e8860,0x925e8860,0x00000000
0x007fcf7c,0x807b3350,0x807b3350,0x00000000
0x007fd0bc,0x807b3350,0x807b3350,0x00000000
0x007ff1b4,0x807b3350,0x807b3350,0x00000000
0x007ff234,0x807b3350,0x807b3350,0x00000000
0x007ff2b4,0x807b3350,0x807b3350,0x00000000
0x00809e28,0x3e800000,0x3e800000,0x00000000
0x00809e68,0x3dcccccd,0x3dcccccd,0x00000000
0x00809e6c,0x3f800000,0x3f800000,0x00000000
0x00809ee8,0x3e800000,0x3e800000,0x00000000
0x0080d838,0x000b4b48,0x000b4b48,0x00000000
0x0080d83c,0x8080d830,0x8080d830,0x00000000
0x0080d89c,0x000b4ae4,0x000b4ae4,0x00000000
0x0080d8ac,0x8080d804,0x8080d804,0x00000000
0x00f87a5c,0x3f800000,0x3f800000,0x00000000
0x00f87c8c,0x3f800000,0x3f800000,0x00000000
0x00f87f5c,0x3f800000,0x3f800000,0x00000000
0x00f87f6c,0x3f800000,0x3f800000,0x00000000
0x00f883ec,0x3f800000,0x3f800000,0x00000000
0x00f88434,0x3f800000,0x3f800000,0x00000000
0x00f884fc,0x3f800000,0x3f800000,0x00000000
0x00f888b4,0x3f800000,0x3f800000,0x00000000
0x00f888fc,0x3f800000,0x3f800000,0x00000000
0x00f8890c,0x3f800000,0x3f800000,0x00000000
0x00f889d4,0x3f800000,0x3f800000,0x00000000
0x00f88a1c,0x3f800000,0x3f800000,0x00000000
0x00f88ae4,0x3f800000,0x3f800000,0x00000000
0x00f88b2c,0x3f800000,0x3f800000,0x00000000
0x00f88d8c,0x3f800000,0x3f800000,0x00000000
0x00f88e9c,0x3f800000,0x3f800000,0x00000000
0x00f89244,0x3f800000,0x3f800000,0x00000000
0x00f8928c,0x3f800000,0x3f800000,0x00000000
0x00f89354,0x3f800000,0x3f800000,0x00000000
0x00f8939c,0x3f800000,0x3f800000,0x00000000
0x00f893ac,0x3f800000,0x3f800000,0x00000000
0x00f895fc,0x3f800000,0x3f800000,0x00000000
0x00f89764,0x3f800000,0x3f800000,0x00000000
0x00f8993c,0x3f800000,0x3f800000,0x00000000
0x00f899ec,0x3f800000,0x3f800000,0x00000000
0x00f89a4c,0x3f800000,0x3f800000,0x00000000
0x00f89b0c,0x3f800000,0x3f800000,0x00000000
0x00f89c2c,0x3f800000,0x3f800000,0x00000000
0x00f89fc4,0x3f800000,0x3f800000,0x00000000
0x00f8a09c,0x3f800000,0x3f800000,0x00000000
